#
AS1C  U         27.3471         39.3361        141.7505         640.1624
AS2C  U         24.2056         28.8249        244.9829         210.0483
CC1C  U          1.0000          1.0000          1.0000           1.0000
EC1C  D         28.5415         26.8427        240.8042        1123.1510
EC2C  D         29.0773         27.4094        279.2342        1219.6475
EC3C  D         60.3475         72.9276       1614.3907       10771.9981
ID1C  U         44.8544         25.9460        507.8399         548.1039
 1103241     736053.4513018  -129.9816    45.9375    1.493
AS1D  U         33.4422         39.9723        433.3751        1578.8811
AS2D  U         45.1317         37.2151        474.8014         470.2002
CC1D  U          1.0000          1.0000          1.0000           1.0000
EC1D  D         36.0907         36.0640        470.0101        2612.2978
EC2D  D         36.8001         33.6647        515.2268        2442.8651
EC3D  D         42.9877         55.4922       3838.6603       23345.0978
ID1D  U         39.0004         29.1882        846.4193         922.1848
 1103246     736053.4524860  -129.9815    45.9376    1.502
AS1E  U         30.2965         39.5756        331.4096        1191.4920
AS2E  U         32.5288         33.7534        354.6410         359.8704
CC1E  U         29.3411         44.2777        184.5822         214.5882
EC1E  D         26.4812         43.3773        423.5972        1895.2611
EC2E  D         31.4313         30.0293        436.0827        2142.3776
EC3E  D         32.1861         50.1135       2709.3718       17740.9365
ID1E  U         50.4075         36.0909        718.2691         732.6953
 1103264     736053.4568237  -129.9816    45.9376    1.508
AS1F  U         31.8155         35.1201        294.6199        1007.8464
AS2F  U         33.3526         30.7036        328.3938         293.8741
CC1F  U          1.0000          1.0000          1.0000           1.0000
EC1F  D         37.4220         35.0966        381.3636        1705.8978
EC2F  D         37.3457         23.5096        389.0672        1529.1426
EC3F  D         37.4677         60.6379       2366.0148       14888.0818
ID1F  U         52.3208         33.3081        536.5763         606.2710
#
108   736048.4691326   -129.9898   45.9441   0.52
 1121746     736062.6213697  -129.9895    45.9445    0.518
AS1A  U         23.8561         19.3021         96.2206         298.6744
AS2A  D         25.0080         22.0902        106.2486         129.6507
CC1A  U         22.0364         30.2167        212.1793         431.7895
EC1A  D         29.3797         29.5466        211.3304        1794.1999
EC2A  D         19.0471         21.5926        211.2329         947.1588
EC3A  D         24.4730         37.8125        277.9503        1097.3236
 1119030     736061.1271856  -129.9898    45.9437    0.481
AS1B  U         35.8302         50.1505        110.6804         328.5158
AS2B  D         24.1271         27.6984         85.5650         110.2242
CC1B  U         51.8071         39.8248         94.5365         158.6683
EC1B  D         33.7042         32.6006        229.8114        1150.9920
EC2B  D         28.0990         22.6453        154.3737         536.4634
EC3B  D         42.3106         45.2560        140.2289         739.6314
 1110305     736056.5949800  -129.9899    45.9448    0.536
AS1C  U         24.6916         30.4191        132.7739         457.5164
AS2C  D         25.5075         22.5757        171.8217         204.2886
CC1C  U         26.0357         21.9668        405.5837         792.8492
EC1C  D         30.9846         32.7739        521.2349        3060.0014
EC2C  D         21.1107         23.7528        364.1332        1560.9249
EC3C  D         27.4465         47.6190        329.8529        1594.4407
 1110308     736056.5954696  -129.9900    45.9448    0.525
AS1D  U         30.8091         36.2785         92.3702         335.7641
AS2D  D         50.7209         28.6234        127.5568         135.8746
CC1D  U         18.6031         32.3530        264.8376         539.2098
EC1D  D         26.1815         22.0640        345.6799        2083.0162
EC2D  D         32.3314         27.5892        242.7865         985.9976
EC3D  D         26.1713         50.9125        221.0984         989.1956
 1041679     736005.1802087  -129.9903    45.9434    0.578
AS1E  U         46.4881         51.6205         74.9669         245.5151
AS2E  D         33.6214         44.1218         80.8486          92.3744
CC1E  U         38.7081         62.7370         70.5375         203.2108
EC1E  D         36.5509         42.6194         82.9708         701.4603
EC2E  D         32.3567         39.6445         87.1305         374.5854
EC3E  D         56.8388         88.9309        136.6825         618.5039
 1095179     736048.6955823  -129.9891    45.9434    0.495
AS1F  U         30.4058         36.9317        168.2926         490.3989
AS2F  D         39.0750         37.4880        123.5766         164.5230
CC1F  U         45.7184         32.0204        126.0198         239.7609
EC1F  D         32.1252         33.1738        229.1022        1267.4369
EC2F  D         29.6350         29.1401        120.2975         665.9350
EC3F  D         45.9782         49.1196        198.2764         986.0396
#
109   736023.2314958   -129.9774   45.9327   1.54
 1104192     736053.9198143  -129.9769    45.9325    1.583
AS1A  U         39.9091         32.3242         92.9561         270.6541
AS2A  U         46.1614         60.0998        133.4486         151.6205
EC1A  D         35.9509         49.9367        146.9218         557.6083
EC2A  D         27.2098         23.9087        109.4193         831.5327
EC3A  D         38.5132         43.4196        902.3328        5193.7364
ID1A  U         58.4250         40.3519        424.3210         455.5540
 1067110     736034.3075148  -129.9773    45.9322    1.529
AS1B  U         34.4600         38.5862        259.4335        1016.6900
AS2B  U         36.7720         51.1522        422.4526         284.6326
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         31.1235         43.6906        310.2280        1084.8300
EC2B  D         31.0306         34.9635        372.1655        1877.1637
EC3B  D         37.9456         48.5924       2666.8074       15757.5712
ID1B  U         38.2162         32.6961       1862.8410        1969.1741
 1028802     735993.8778519  -129.9779    45.9330    1.526
AS1C  U         34.9860         41.2558        160.0330         376.8590
AS2C  U         35.9495         46.6307        212.3245         170.2733
EC1C  D         36.0665         41.5009        172.0882         618.7941
EC2C  D         28.2254         47.6907        179.8564         793.5383
EC3C  D         45.9215         75.0279       1542.4931        7488.6380
ID1C  U         44.8756         36.7713        698.5716         803.8743
 1075716     736038.8067111  -129.9777    45.9330    1.532
AS1D  U         26.6121         28.7872        147.4584         402.5611
AS2D  U         40.6624         37.2711        205.8883         156.4434
CC1D  U          1.0000          1.0000          1.0000           1.0000
EC1D  D         26.0400         32.8484        172.0335         642.9157
EC2D  D         29.5036         29.5898        191.5585         863.1191
EC3D  D         32.1245         42.4278       1535.2729        7989.3721
ID1D  U         40.3528         33.1004        800.1390         949.1159
 1028861     735993.9010843  -129.9773    45.9327    1.535
AS1E  U        216.0345        550.0341       1746.5534        7415.8429
AS2E  U        205.3917        121.9626       1781.9675        1404.1562
CC1E  U          1.0000          1.0000          1.0000           1.0000
EC1E  D        196.2867        644.5494       2346.2210        8630.6245
EC2E  D        173.8264       1178.1150       1909.2500       14327.4523
EC3E  D       1680.2554       9036.3846      21179.6087      111076.2047
ID1E  U        976.9057       1178.6966      12017.0685       13146.8066
 1028824     735993.8898845  -129.9774    45.9330    1.514
AS1F  U         37.6317         43.5580        157.1905         559.2861
AS2F  U         42.3333         33.0467        234.0796         139.8611
EC1F  D         22.3448         25.2473        167.0378         627.9120
EC2F  D         26.9086         34.0585        255.8400        1228.0356
EC3F  D         32.6890         74.0226       1683.0822        8773.1076
ID1F  U         43.2170         41.8943        915.6967        1178.2568
 1104172     736053.9176100  -129.9772    45.9327    1.536
AS1G  U         28.8916         33.8576        269.1052         911.2932
AS2G  U         22.4089         27.8992        361.8313         240.5744
CC1G  U          1.0000          1.0000          1.0000           1.0000
EC1G  D         32.7710         49.9730        313.2421        1218.6435
EC2G  D         27.2436         41.0019        336.7387        1804.5440
EC3G  D         39.7929         78.4627       2459.4704       12903.4692
ID1G  U         39.4648         29.4825       1458.7261        1618.4228
#
110   736036.1661098   -129.9891   45.9425   0.51
 1048989     736015.1556455  -129.9889    45.9423    0.517
AS1A  U         41.1477         70.5027        657.6292        1926.7523
AS2A  D         36.6424         34.0860        461.6885         712.9343
CC1A  U         63.1216         75.4805        298.9384        1016.4362
EC1A  D         40.6749        123.0889        804.9263        3930.4820
EC2A  D         46.9147         88.4185        582.2547        1793.4052
ID1A  U         38.4719         32.5870        367.9338         465.7713
 1049012     736015.1618402  -129.9890    45.9424    0.525
AS1B  U         65.4899         52.2087        520.5752        1810.5561
AS2B  D         47.6028         49.5834        460.3361         633.6104
CC1B  U         80.3660         97.0060        286.4723         931.3161
EC1B  D         28.9963         43.6844        685.4826        3817.3448
EC2B  D         38.7578         35.0271        545.7928        1655.4509
EC3B  D         50.0322         56.3873       1689.9375        9533.4332
ID1B  U         54.6137         47.4109        353.2368         434.8264
 1100525     736051.8788907  -129.9893    45.9423    0.498
AS1C  U         36.4296         33.9197        293.8949         751.0410
AS2C  D         37.0989         38.1293        265.8084         359.7930
CC1C  U         53.6520         48.3628        458.5167         937.8374
EC1C  D         36.6792         49.2009        316.4317        1426.5050
