#
A14A  U         28.7765         28.7765         81.3371          49.0387
#
 28   738823.3958010   -129.9870   45.9400   1.08
 230200091     738823.3958010  -129.9870    45.9400    1.081
AAS1  U         46.9714         46.9714        301.7214         260.3702
AAS2  D         48.1818         48.1818         30.5556          43.8763
ACC1  D         93.6963         93.6963         58.8903         111.3919
AEC1  U         58.2412         58.2412        101.9905         249.3008
AEC2  D         72.4371         72.4371        219.8545         538.8422
AEC3  D         86.6168         86.6168        696.8189        1340.5311
AID1  D         59.6467         59.6467        106.7502         225.6311
A10A  U         21.5971         21.5971         32.5438          69.2649
A12A  D         12.5750         12.5750         18.2142          50.6995
#
 29   738823.3993553   -129.9930   45.9400   1.63
 230200095     738823.3993553  -129.9930    45.9400    1.627
AAS1  U         70.1841         70.1841        722.9266         445.5137
AAS2  U         45.2392         45.2392         38.1943         128.5971
ACC1  U        110.7045        110.7045         62.2584          95.2194
AEC2  D         78.7749         78.7749        445.6290         646.6503
AEC3  D        220.4954        220.4954       1522.9106        5015.2660
AID1  U         59.6860         59.6860         89.4645         373.2951
A05A  D        221.5432        221.5432        112.0730        1069.3437
A10A  U         26.8257         26.8257         90.4747         176.4443
A11A  U        252.0514        252.0514        195.2825        2872.9388
A12A  U         12.5339         12.5339         18.6004         108.8953
#
 30   738824.0010110   -129.9940   45.9510   0.79
 230300001     738824.0010110  -129.9940    45.9510    0.794
AAS1  U         54.5017         54.5017        361.4583         283.3544
AAS2  U         42.6488         42.6488         28.8132          45.8477
ACC1  U        102.9299        102.9299         54.9457          87.6326
AEC1  U         41.7859         41.7859        172.8860         521.8260
AEC2  U         65.0986         65.0986        310.9969         999.0612
AEC3  D         62.5354         62.5354        831.6040        1268.0412
AID1  D         58.3857         58.3857        101.7098         302.0829
A10A  U         18.4627         18.4627         61.3630          67.3603
A11A  U        697.2647        697.2647        301.2609        2949.3771
A12A  U         11.3855         11.3855         15.4160          57.3960
A13A  U         68.6694         68.6694         66.4203         215.1698
#
 31   738824.0015550   -129.9960   45.9540   1.66
 230300002     738824.0015550  -129.9960    45.9540    1.656
AAS1  U         56.6295         56.6295        279.9740         146.9056
AAS2  U         34.8103         34.8103         34.4017          36.2128
ACC1  U         67.9717         67.9717         48.5392          85.1640
AEC1  D         54.2002         54.2002        133.2317         312.0536
AEC2  D         68.7070         68.7070        199.6244         561.9395
AEC3  D         52.7429         52.7429        612.6545         770.6762
AID1  U         71.8809         71.8809         50.4234          99.9131
A05A  D        185.3712        185.3712         95.2989         454.4746
A10A  U         16.5034         16.5034         42.1962          51.9788
A11A  D        659.8598        659.8598         98.7952        1185.2535
A12A  D         12.3029         12.3029         18.2096          42.1051
#
 32   738824.0088416   -129.9880   45.9430   2.00
 230300006     738824.0088416  -129.9880    45.9430    2.001
AAS1  U         63.2601         63.2601        426.3981         172.4147
AAS2  D         41.9760         41.9760         51.9976          40.3262
ACC1  D         71.2211         71.2211         52.9979         129.8634
AEC1  U         54.9364         54.9364         61.1231         493.9919
AEC2  D         61.1669         61.1669        336.0356         847.4138
AEC3  D         70.0169         70.0169        757.2475        1025.7944
AID1  D         86.0042         86.0042         71.6899         207.1701
A03A  U        131.5186        131.5186         97.4569        1124.0838
A05A  D        258.4603        258.4603        177.4137         345.0645
A10A  U         14.9679         14.9679         61.7156          69.4987
#
 33   738824.0631021   -129.9910   45.9440   1.94
 230300019     738824.0631021  -129.9910    45.9440    1.944
AAS1  U         54.1027         54.1027        466.3118         197.4768
AAS2  D         45.3502         45.3502         47.3155          62.2866
ACC1  D         80.9891         80.9891         43.8073          80.2688
AEC1  U         42.7660         42.7660        205.5982         472.3668
AEC2  D         74.0903         74.0903        329.7353         931.5705
AEC3  D         67.7884         67.7884       1031.0441        1332.0916
AID1  D         63.0458         63.0458         95.8798         271.4850
A10A  U         16.1101         16.1101         64.7903          79.2210
A11A  U        157.6661        157.6661        136.6457        1723.1972
A12A  U         15.4197         15.4197         13.3204          71.8451
#
 34   738824.1929917   -129.9900   45.9420   1.48
 230300087     738824.1929917  -129.9900    45.9420    1.484
AAS1  U         82.9725         82.9725       4287.1691        2283.6800
AAS2  U         47.3712         47.3712        835.5849         623.8938
ACC1  U         91.4042         91.4042        411.8769        1020.1568
AEC1  D         51.8675         51.8675        689.8016        2301.3698
AEC2  D         80.5611         80.5611        816.4972        5241.5275
AEC3  D        125.0226        125.0226       5169.6620       15435.6231
AID1  U         57.3889         57.3889        440.9849        2044.2723
A05A  U       1790.0444       1790.0444       1405.6253        5135.2667
A07A  U         50.4909         50.4909         90.3098         303.3478
A09A  D         67.0853         67.0853         25.9628         410.2209
A10A  U         32.0582         32.0582        476.4003         748.5507
A12A  U         18.8829         18.8829         99.5449         619.0501
A14A  U         35.6379         35.6379        142.3480         237.8687
#
 35   738824.2780601   -129.9950   45.9500   1.63
 230300152     738824.2780601  -129.9950    45.9500    1.627
AAS1  U         59.3305         59.3305        247.1482         242.9547
AAS2  D         43.7359         43.7359         41.0723          49.2535
ACC1  D        122.3707        122.3707         45.8877          77.1166
AEC1  U         44.9023         44.9023         38.2956         185.7064
AEC2  D         70.1922         70.1922        126.1758         509.6529
AEC3  D         64.9032         64.9032        455.1580         664.0966
AID1  D         56.6405         56.6405         45.5137          65.6770
A11A  U        262.6030        262.6030        142.7366         814.0358
A12A  D         11.9414         11.9414         14.4895          42.2512
#
 36   738824.3242288   -129.9900   45.9410   1.89
 230300164     738824.3242288  -129.9900    45.9410    1.886
AAS1  U         62.9739         62.9739        535.4184         316.1189
AAS2  U         38.5237         38.5237         19.3845          40.1525
ACC1  D        138.3460        138.3460         28.6707          91.5435
AEC1  D         62.0362         62.0362        126.8992         444.3600
AEC2  D         70.1878         70.1878        298.8498         707.9051
AEC3  D         68.1033         68.1033       1154.2597        2605.0863
AID1  D         65.0387         65.0387         64.1646         270.9402
A10A  U         19.2177         19.2177         76.5305         113.3480
A11A  U        305.0429        305.0429        147.4485        2718.9469
A12A  U         13.7005         13.7005         30.5602          93.7218
A14A  U         45.8822         45.8822         27.5962          61.1867
#
 37   738824.3716966   -129.9950   45.9550   2.12
 230300181     738824.3716966  -129.9950    45.9550    2.116
AAS1  U         52.7764         52.7764        270.5250         152.1103
AAS2  D         51.7173         51.7173         56.1250          51.5809
ACC1  U         72.4121         72.4121         47.9476         111.8429
AEC1  D         44.9450         44.9450        130.5859         240.8600
AEC2  D         59.4109         59.4109        216.0226         116.6812
AEC3  D         69.9033         69.9033        338.8882        1640.0561
AID1  U         72.3197         72.3197         40.9559          69.1392
A10A  U         18.7682         18.7682         22.3121          59.4768
A12A  D         14.9035         14.9035         14.5485          24.2668
#
 38   738824.3739745   -129.9910   45.9400   1.97
 230300185     738824.3739745  -129.9910    45.9400    1.972
AAS1  U         56.3773         56.3773        810.2912         372.8782
AAS2  U         51.1899         51.1899         37.3997          45.6226
ACC1  D        103.8261        103.8261         41.4249         102.7227
AEC1  D         57.3600         57.3600        326.5667         821.7874
AEC2  D         65.8985         65.8985        741.0035         510.3481
AEC3  D         74.7654         74.7654       1232.7307        5119.4851
AID1  U         66.8351         66.8351        221.2076         325.7912
A05A  U        137.9960        137.9960         48.4988        1003.4804
A10A  U         16.8119         16.8119         64.9785         181.7165
A11A  D        209.5770        209.5770        172.4717        1842.0481
A12A  D         14.6951         14.6951         16.0579          90.5653
#
 39   738824.7777243   -129.9930   45.9470   1.02
 230300210     738824.7777243  -129.9930    45.9470    1.024
AAS1  U        116.9563        116.9563       4644.8918        2629.2092
AAS2  U         97.3648         97.3648        573.6403         740.0087
AEC1  D         90.6790         90.6790       1156.9415        5474.6655
AEC2  D         84.2327         84.2327       3237.6500        6502.4930
AEC3  D        137.6392        137.6392       8371.2412       21222.9287
AID1  U        107.6164        107.6164        570.5239        1062.5825
A05A  U        273.5577        273.5577        289.8514        5876.7101
A10A  U         43.3050         43.3050        771.3304         890.0625
A11A  D        496.2569        496.2569        408.7746       13783.9339
A12A  U         25.7619         25.7619         73.5344         506.1391
A13A  U        378.3664        378.3664        818.2622        3178.7299
#
 40   738828.4543432   -129.9980   45.9510   1.37
 230700105     738828.4543432  -129.9980    45.9510    1.369
AAS1  U         66.8386         66.8386         48.6460          62.9223
AAS2  U         41.2045         41.2045         36.8158          45.3745
ACC1  D         74.3820         74.3820         37.2048          69.0966
AEC1  U         42.7095         42.7095         69.6294         235.1922
AEC2  U         41.1954         41.1954         48.8292          46.0784
AEC3  D         66.7252         66.7252         33.7295          68.1389
AID1  D         61.0561         61.0561         61.6351          67.8372
A03A  U         85.9674         85.9674        256.0185        1130.5916
A05A  U        264.9761        264.9761        539.7495        7570.8434
A06A  U         49.0338         49.0338         92.0659         860.3745
A07A  U         40.7897         40.7897        364.2554         565.0833
A08A  U         25.3072         25.3072        344.6965          12.1800
A09A  U         67.9970         67.9970         45.2988         608.5118
A10A  U         18.9728         18.9728         47.5381         108.2225
A11A  U        491.5185        491.5185        416.3150        1578.1408
#
 41   738828.6495001   -129.9990   45.9520   1.48
 230700126     738828.6495001  -129.9990    45.9520    1.484
AAS1  U         73.2832         73.2832         54.5809          61.8414
AAS2  D         50.7949         50.7949         37.8249          43.5114
ACC1  U        181.1321        181.1321         45.1567         167.0908
AEC2  D         49.9258         49.9258         38.9344          53.0233
AEC3  U         90.0554         90.0554         83.5706          87.3363
AID1  D         76.8634         76.8634         36.8839          64.8918
