event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
1417,352.0,38.5,-164.1,B,17.7,19.6,31,30,0.0,92.3,48.5,-78.2,False,2015-03-10 03:25:25,1.0,45.93,-129.985,1.1,0.3,0.2
1418,157.9,74.6,107.1,D,45.3,36.0,32,28,18.5,30.2,54.3,-83.5,False,2015-03-01 03:59:58,1.0,45.94,-130.013,0.6,0.3,0.2
1419,286.5,20.4,-144.2,A,23.8,22.9,32,32,0.0,88.9,57.8,-53.1,False,2015-03-24 06:02:41,1.0,45.954,-129.994,1.1,0.3,0.2
1420,217.8,7.4,123.8,A,9.8,7.6,31,25,0.0,100.0,62.4,-56.0,False,2015-04-05 18:39:50,1.0,45.973,-130.0,2.4,0.3,0.2
1421,29.3,58.6,-141.2,C,16.7,16.4,34,34,23.1,96.5,53.7,-55.6,False,2015-02-19 07:22:37,1.0,45.939,-130.019,0.8,0.3,0.2
1422,168.5,82.0,-170.6,B,15.5,35.3,33,29,0.0,71.4,40.7,-101.8,False,2015-03-21 05:27:42,1.0,45.978,-130.004,2.0,0.3,0.2
142,177.4,23.7,-62.9,C,7.9,52.8,56,51,11.1,50.5,43.1,-82.5,False,2015-03-17 02:27:28,1.0,45.936667,-129.980333,1.47,0.3,0.2
1423,80.0,38.6,-115.3,C,24.2,16.2,31,30,20.7,94.2,39.4,-83.9,False,2015-04-20 00:24:53,1.0,45.94,-130.021,1.3,0.3,0.2
1424,13.1,54.6,129.3,A,11.0,11.4,32,28,0.0,100.0,93.2,1.7,False,2015-03-02 19:26:08,1.0,45.977,-130.007,1.0,0.3,0.2
1425,309.8,60.4,-113.7,C,13.4,8.5,33,30,20.1,100.0,51.1,-99.1,False,2015-03-27 06:55:26,1.0,45.932,-129.982,1.3,0.3,0.2
1426,86.5,57.1,-154.8,B,15.4,15.3,31,28,15.7,100.0,61.3,-54.6,False,2015-03-30 04:39:49,1.0,45.949,-130.022,0.7,0.3,0.2
1427,88.2,45.6,168.0,A,15.2,25.3,32,30,0.0,91.4,54.0,-65.0,False,2015-03-05 18:43:09,1.0,45.942,-130.02,0.9,0.3,0.2
1428,90.2,38.5,42.7,D,31.9,34.6,31,30,31.2,20.2,53.5,-69.5,False,2015-03-12 08:06:48,1.0,45.941,-130.013,0.5,0.3,0.2
1429,204.9,76.4,117.1,A,25.3,18.8,32,29,0.0,97.6,65.5,-44.4,False,2015-03-05 21:17:29,1.0,45.943,-130.015,0.5,0.3,0.2
1430,92.4,7.8,-101.0,A,17.3,12.8,31,30,0.0,100.0,70.4,-37.8,False,2015-03-24 00:29:50,1.0,45.947,-130.005,0.1,0.3,0.2
1431,341.0,28.9,-173.7,C,20.2,20.8,31,25,24.4,97.7,56.7,-70.8,False,2015-03-22 11:46:36,1.0,45.935,-130.014,0.8,0.3,0.2
143,13.0,40.5,-179.5,A,11.7,7.3,54,52,2.2,100.0,58.3,-70.5,False,2015-03-29 07:37:47,1.0,45.9415,-130.011833,0.47,0.3,0.2
1432,274.2,57.6,-168.4,B,43.4,17.5,31,29,15.6,60.7,84.4,-20.4,False,2015-03-22 08:21:43,1.0,45.975,-130.003,1.2,0.3,0.2
1434,152.7,24.4,-70.2,D,12.3,17.7,33,30,0.0,97.9,26.4,-140.9,False,2015-02-16 04:04:58,1.0,45.95,-129.988,1.5,0.3,0.2
1433,80.4,50.2,-154.7,A,11.7,8.0,34,33,0.0,100.0,71.5,-36.9,False,2015-02-28 13:49:08,1.0,45.947,-130.007,0.3,0.3,0.2
1436,338.4,72.2,174.5,B,15.4,31.7,31,25,8.5,79.4,49.5,-88.3,False,2015-03-10 17:07:11,1.0,45.975,-130.001,1.8,0.3,0.2
1435,126.1,31.1,-102.1,C,17.8,16.0,35,34,0.0,100.0,33.6,-112.3,False,2015-03-15 08:57:20,1.0,45.95,-129.987,1.7,0.3,0.2
1438,295.0,50.3,-163.5,D,42.9,35.8,33,32,0.0,44.9,44.2,-83.9,False,2015-03-22 04:07:55,1.0,45.947,-129.986,1.5,0.3,0.2
1437,228.4,43.1,-15.6,B,34.8,27.2,34,32,0.0,60.3,75.8,-24.3,False,2015-03-30 19:35:13,1.0,45.945,-129.999,0.3,0.3,0.2
1439,196.4,66.2,-144.2,B,26.7,20.1,32,25,8.1,87.2,43.4,-95.6,False,2015-03-22 08:09:51,1.0,45.941,-130.019,0.8,0.3,0.2
144,7.8,46.0,178.2,A,10.3,7.7,42,37,0.0,100.0,61.4,-36.3,False,2015-02-14 15:10:27,1.0,45.941167,-130.011667,0.45,0.3,0.2
1440,208.5,81.8,-159.1,A,9.3,11.9,32,32,0.0,100.0,76.5,-15.2,False,2015-04-09 19:05:26,1.0,45.947,-129.991,0.4,0.3,0.2
1441,171.6,50.2,66.1,D,57.4,31.4,33,32,25.9,23.9,59.1,-64.2,False,2015-03-14 23:38:59,1.0,45.956,-130.034,0.7,0.3,0.2
1442,355.7,31.3,-92.3,A,10.3,10.0,31,28,3.0,100.0,54.1,-81.2,False,2015-04-04 19:08:26,1.0,45.973,-130.0,2.3,0.3,0.2
1444,77.2,70.1,-171.7,B,11.6,20.6,31,30,6.3,100.0,47.7,-70.3,False,2015-04-12 12:28:23,1.0,45.937,-130.019,1.2,0.3,0.2
1443,177.8,30.0,-173.6,B,29.5,31.1,33,31,0.0,72.1,68.9,-36.2,False,2015-03-26 18:16:30,1.0,45.952,-129.998,0.3,0.3,0.2
1445,335.8,69.5,139.8,B,15.6,13.4,32,31,0.0,100.0,44.4,-81.6,False,2015-04-09 19:37:41,1.0,45.947,-129.986,1.5,0.3,0.2
1447,72.1,46.5,-146.3,A,13.3,11.3,33,24,0.0,100.0,64.6,-57.0,False,2015-03-26 06:00:07,1.0,45.947,-130.018,0.5,0.3,0.2
1446,147.2,43.8,-44.6,B,9.0,28.0,32,29,2.3,87.2,42.3,-119.2,False,2015-03-26 17:54:01,1.0,45.974,-130.003,1.9,0.3,0.2
1448,43.8,46.2,-33.9,D,20.6,25.1,33,32,35.4,95.1,72.8,-22.0,False,2015-03-15 01:30:43,1.0,45.951,-129.994,0.7,0.3,0.2
1449,62.6,42.2,-141.4,A,13.5,10.9,31,27,0.0,100.0,51.7,-71.7,False,2015-03-08 06:56:32,1.0,45.942,-130.017,0.8,0.3,0.2
145,225.3,68.5,-134.6,A,11.1,9.0,40,35,0.0,100.0,70.4,-28.1,False,2015-03-10 05:48:22,1.0,45.942333,-129.988833,0.51,0.3,0.2
1450,111.9,39.7,26.4,B,25.6,34.3,30,26,11.2,84.2,62.9,-46.0,False,2015-03-30 18:09:59,1.0,45.946,-129.988,0.9,0.3,0.2
1451,8.3,79.2,-142.2,B,28.6,29.6,33,29,0.0,79.0,75.7,-23.9,False,2015-03-22 21:21:56,1.0,45.947,-130.003,0.3,0.3,0.2
1452,285.5,12.2,-5.9,D,44.6,53.3,34,34,9.3,34.1,63.5,-51.7,False,2015-03-14 01:02:44,1.0,45.954,-129.995,1.0,0.3,0.2
1453,26.5,50.7,51.7,D,18.6,36.6,30,25,41.6,68.1,64.2,-62.1,False,2015-03-07 05:58:32,1.0,45.976,-130.002,1.6,0.3,0.2
1454,113.7,35.8,-157.3,B,27.1,29.9,31,30,0.0,76.5,66.1,-43.5,False,2015-03-30 06:21:14,1.0,45.941,-129.99,0.5,0.3,0.2
1455,22.8,32.1,117.1,B,11.0,9.8,32,25,0.0,100.0,43.7,-108.6,False,2015-03-08 22:06:26,1.0,45.974,-129.997,1.9,0.3,0.2
