#
 1096280     736049.2068658  -130.0197    45.9359    1.264
AS1G  U         35.8819         33.8568        163.8416         378.1297
AS2G  U         40.4436         33.2223        536.3861        1380.2120
CC1G  U         37.0676         31.5872        108.6929         262.5998
EC1G  U         28.9873         29.4030        192.6873         663.7070
EC2G  U         24.4349         28.0528        173.1539         858.6003
EC3G  U         36.2579         59.9398        176.9638         798.8769
#
106   736053.1707831   -130.0203   45.9406   1.12
 1062355     736031.8389597  -130.0203    45.9400    1.096
AS1A  U         32.8427         25.9148        305.9474         497.9246
AS2A  D         30.2084         31.2763       1063.7278        1041.4495
EC1A  U         41.4619         57.9672        147.3487         462.5815
EC2A  U         24.2349         25.2488        271.5126        1264.6074
EC3A  D         36.7984         39.2034        946.3784        5957.4481
ID1A  U         25.3153         20.5340        125.6193         117.6956
 1103384     736053.5339772  -130.0201    45.9412    1.092
AS1B  U         31.1652         43.7094        790.8790        1476.2996
AS2B  D         39.9067         34.1828       1739.9942        1701.2996
CC1B  U         34.9239         30.6633        680.7573        1034.6090
EC1B  U         29.6104         32.2235        452.7798        1343.1721
EC2B  U         33.0644         30.5517        516.9656        1592.4261
ID1B  U         68.1709         48.7793        326.4918         365.6764
 1108021     736055.4387675  -130.0201    45.9407    1.101
AS1C  U         29.4153         24.3264        536.0364         968.5498
AS2C  D         31.6788         28.2078       1120.5634        1298.7548
CC1C  U         32.7779         28.9895        428.3629         629.1135
EC1C  U         32.3902         29.8820        267.6075         876.8438
EC2C  U         30.7726         33.9047        369.2191        1197.9402
ID1C  U         43.6202         25.9879        188.3604         234.8464
 1117495     736060.6254839  -130.0205    45.9405    1.141
AS1D  U         27.9986         31.0633        716.5084        1397.2779
AS2D  D         19.0328         27.4328       2086.9028        2124.3675
CC1D  U         26.9785         32.2440        479.9977         890.5587
EC1D  U         29.9231         23.3742        341.4607        1206.2013
EC2D  U         29.7642         23.4314        544.8415        1814.8400
ID1D  U         32.7624         29.3573        225.2656         338.7173
 1077398     736039.8507519  -130.0202    45.9406    1.120
AS1E  U         28.1802         52.9341        905.6854        1660.2919
AS2E  D         43.8845         37.6755       2383.7168        2548.7454
CC1E  U         37.5594         56.5823        718.1449        1082.4839
EC1E  U         28.5561         35.4231        435.1171        1514.7124
EC2E  U         18.7556         26.6734        658.2202        2209.5038
ID1E  U         35.1882         36.5536        302.9272         400.7735
 1140610     736077.7367585  -130.0204    45.9405    1.144
AS1F  U         72.4945         64.0786       1124.8234        2043.7250
AS2F  D         50.9164         68.3116       2808.7416        3098.0152
CC1F  U         43.5478         47.7584        754.9933        1152.8175
EC1F  U         60.0567         82.0813        515.5814        1839.2006
EC2F  U         53.7006         64.0124        748.7308        2602.5244
ID1F  U         59.2095         49.0624        358.7784         507.6859
#
107   736051.1729664   -130.0112   45.9411   0.45
 1102288     736052.9018995  -130.0109    45.9410    0.429
AS1A  U         31.9347         33.4770        324.0409         710.0022
AS2A  D         43.5305         47.3607       1614.1458        2028.5054
CC1A  U         31.3980         38.4486        194.1979         389.5812
EC1A  U         42.5134         34.5075        283.1978         972.3813
EC2A  U         46.6857         26.5643        503.2215        2534.5395
EC3A  D         50.6871         57.4417        847.0819        4431.8679
 1073083     736036.9423007  -130.0113    45.9413    0.481
AS1B  U         38.0172         41.6981        401.7421         817.9770
AS2B  D         40.2108         43.1152       1101.1922        1374.3135
CC1B  U         42.9041         51.9052        384.6014         683.2497
EC1B  U         31.1449         38.5127        273.3547         823.5713
EC2B  U         34.1465         35.1693        349.5143        1735.5720
EC3B  D         30.6271         39.3155        626.1073        5970.9175
 1078091     736040.0759126  -130.0112    45.9413    0.457
AS1C  U         39.0537         33.7813        362.9996         712.4253
AS2C  D         27.7925         38.5868        915.3647        1295.0495
CC1C  U         47.2700         34.5334        337.9189         645.6534
EC1C  U         25.7037         26.1195        223.8879         730.9464
EC2C  U         17.0663         27.5406        285.8831        1539.4410
EC3C  D         37.3042         41.0648        562.6743        4904.0572
 1080663     736041.5729398  -130.0120    45.9415    0.444
AS1D  U         40.2064         52.2901        486.8567        1182.1761
AS2D  D         67.9132         63.7203       1679.2276        2109.1025
CC1D  U          1.0000          1.0000          1.0000           1.0000
EC1D  U         54.0615         62.7476        447.0231        1149.8403
EC2D  U         48.4842         47.0900        459.7199        2487.2630
EC3D  D         69.4461         96.0467       1427.6781       10304.5784
ID1D  U         52.1873         51.2942        168.6101         202.5124
 1127133     736066.3139169  -130.0108    45.9407    0.439
AS1E  U         61.0117         61.8293        339.4090         664.8835
AS2E  D         47.4360         52.7720       1470.1483        2056.8047
CC1E  U         49.8397         64.0911        245.8576         457.4436
EC1E  U         37.0934         44.6514        322.1124        1058.4141
EC2E  U         37.7290         43.3342        422.5764        2251.1049
EC3E  D         47.1269         87.3554        517.4832        3135.3196
ID1E  U          1.0000          1.0000          1.0000           1.0000
 1131156     736069.2308286  -130.0112    45.9408    0.452
AS1F  U         28.1397         35.2810        181.1279         373.4585
