2022 9 6122929.5045N55.44129W59.76 1.08  0.30  0.20 1.00              1 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I D
ACC1 OO  HHZ I U
AEC1 OO  HHZ I D
AEC2 OO  HHZ I U
AID1 OO  HHZ I U
A03A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I D
A07A OO  HHZ I U
A08A OO  HHZ I D
A09A OO  HHZ I U
A10A OO  HHZ I D
A11A OO  HHZ I U
                                                                     44 
2022 912 52511.4845N58.38129W59.82 1.53  0.30  0.20 1.00             45 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I D
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
AEC2 OO  HHZ I U
AID1 OO  HHZ I D
A01A OO  HHZ I D
A03A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I U
A07A OO  HHZ I U
A08A OO  HHZ I U
A09A OO  HHZ I U
A10A OO  HHZ I U
A11A OO  HHZ I U
                                                                     45 
2022 912 52653.0845N56.46129W59.64 1.31  0.30  0.20 1.00             46 
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
AEC2 OO  HHZ I U
AEC3 OO  HHZ I D
AID1 OO  HHZ I D
A03A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I D
A07A OO  HHZ I U
A08A OO  HHZ I D
A11A OO  HHZ I U
                                                                     46 
2022 912 531 1.3045N58.32129W59.70 1.48  0.30  0.20 1.00             47 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I D
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
AEC2 OO  HHZ I D
AEC3 OO  HHZ I D
AID1 OO  HHZ I U
A03A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I U
A07A OO  HHZ I U
A08A OO  HHZ I U
A10A OO  HHZ I U
A11A OO  HHZ I U
                                                                     47 
2022 9122227 8.0146N 0.54130W 1.62 1.43  0.30  0.20 1.00             48 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC2 OO  HHZ I D
AID1 OO  HHZ I D
A01A OO  HHZ I D
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I U
A07A OO  HHZ I D
A08A OO  HHZ I D
A09A OO  HHZ I D
                                                                     48 
2022 913 55941.1246N 0.66130W 2.34 1.63  0.30  0.20 1.00             49 
AAS2 OO  HHZ I D
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
AEC3 OO  HHZ I U
AID1 OO  HHZ I U
A01A OO  HHZ I D
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I U
A06A OO  HHZ I D
A09A OO  HHZ I D
A11A OO  HHZ I U
                                                                     49 
2022 913 81030.5245N57.90129W59.94 1.44  0.30  0.20 1.00             50 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I D
AEC3 OO  HHZ I U
AID1 OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I D
A05A OO  HHZ I U
A07A OO  HHZ I U
A08A OO  HHZ I U
A10A OO  HHZ I U
                                                                     50 
2022 913185551.5645N59.88130W 1.32 1.48  0.30  0.20 1.00             51 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I D
ACC1 OO  HHZ I D
AEC2 OO  HHZ I U
AEC3 OO  HHZ I U
AID1 OO  HHZ I U
A01A OO  HHZ I U
A02A OO  HHZ I D
A03A OO  HHZ I U
A04A OO  HHZ I U
A05A OO  HHZ I D
A06A OO  HHZ I U
A09A OO  HHZ I U
                                                                     51 
2022 914 32826.1946N 0.66130W 1.80 1.48  0.30  0.20 1.00             52 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC2 OO  HHZ I U
AEC3 OO  HHZ I U
AID1 OO  HHZ I U
A02A OO  HHZ I U
A04A OO  HHZ I U
A06A OO  HHZ I U
A07A OO  HHZ I U
                                                                     52 
2022 914 53517.6546N 0.72130W 1.14 1.20  0.30  0.20 1.00             53 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC1 OO  HHZ I U
AEC2 OO  HHZ I D
AEC3 OO  HHZ I U
A01A OO  HHZ I D
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I U
A06A OO  HHZ I U
                                                                     53 
2022 914 53758.7246N 0.66130W 2.10 1.54  0.30  0.20 1.00             54 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC1 OO  HHZ I D
AEC3 OO  HHZ I D
AID1 OO  HHZ I U
A01A OO  HHZ I D
A02A OO  HHZ I D
A03A OO  HHZ I U
A04A OO  HHZ I U
A06A OO  HHZ I D
A09A OO  HHZ I U
                                                                     54 
2022 914 54151.4046N 0.72130W 1.32 1.15  0.30  0.20 1.00             55 
AAS1 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
AEC3 OO  HHZ I U
AID1 OO  HHZ I U
A01A OO  HHZ I D
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I D
A05A OO  HHZ I U
A06A OO  HHZ I U
A08A OO  HHZ I U
A09A OO  HHZ I U
A10A OO  HHZ I U
A14A OO  HHZ I U
                                                                     55 
2022 914 6 910.8446N 0.24130W 1.02 1.31  0.30  0.20 1.00             56 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I D
ACC1 OO  HHZ I D
AEC2 OO  HHZ I U
AEC3 OO  HHZ I D
A01A OO  HHZ I D
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I D
A06A OO  HHZ I U
                                                                     56 
2022 914 62036.4946N 0.84130W 1.26 1.37  0.30  0.20 1.00             57 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC1 OO  HHZ I D
