A03A   160.6  105.2  1 -1    0.00    0.00
A04A   146.6  105.7  1 -1    0.00    0.00
A06A   151.2  106.0 -1 -1    0.00    0.00
A01A   161.0  105.9  0  0    0.93    0.93
A02A   168.2  105.9  0  0    1.11    0.92
A03A   160.6  105.2  0  0    0.49    0.96
A04A   146.6  105.7  0  0    0.76    0.95
A06A   151.2  106.0  0  0    0.59    0.94
              28  14  10   4 1
AAS2   232.1   88.8  1  1    0.00    0.00
ACC1   129.5   91.6  1 -1    0.00    0.00
AEC1   196.3   90.2  1  1    0.00    0.00
A01A   170.8   92.4 -1 -1    0.00    0.00
A02A   180.1   92.4  1  1    0.00    0.00
A03A   175.2   88.8  1 -1    0.00    0.00
A04A   153.3   90.8 -1 -1    0.00    0.00
A05A   154.0   92.4  1 -1    0.00    0.00
A06A   158.0   92.8 -1 -1    0.00    0.00
A07A   160.7   93.4 -1 -1    0.00    0.00
A01A   170.8   92.4  0  0    0.68    1.84
A02A   180.1   92.4  0  0    0.73    1.80
A04A   153.3   90.8  0  0    0.27    3.44
A06A   158.0   92.8  0  0    0.64    1.84
              29  19  14   5 1
AAS2   225.9   95.5  1  1    0.00    0.00
ACC1   124.4  104.5  1  1    0.00    0.00
AEC1   187.7  102.3 -1  1    0.00    0.00
AEC2   178.4  105.0 -1  1    0.00    0.00
AID1   172.8  105.3 -1  1    0.00    0.00
A01A   164.0  104.6 -1  1    0.00    0.00
A02A   173.1  104.5  1  1    0.00    0.00
A03A   164.8  101.3  1  1    0.00    0.00
A04A   145.9  104.1 -1  1    0.00    0.00
A05A   147.7  104.6  1  1    0.00    0.00
A06A   151.7  104.6  1  1    0.00    0.00
A07A   155.1  105.0  1  1    0.00    0.00
A08A    30.3   85.6  1  1    0.00    0.00
A09A    22.3   27.9 -1 -1    0.00    0.00
A01A   164.0  104.6  0  0    0.45    0.97
A02A   173.1  104.5  0  0    0.84    0.97
A03A   164.8  101.3  0  0    0.38    1.10
A04A   145.9  104.1  0  0    0.61    1.00
A06A   151.7  104.6  0  0    0.17    0.98
              30   9   9   0 1
AAS1   305.4  101.0 -1  1    0.00    0.00
AAS2   287.2  126.1  1  1    0.00    0.00
ACC1    75.0  110.8 -1 -1    0.00    0.00
AID1   196.9  126.1 -1 -1    0.00    0.00
A02A   226.0  120.7 -1 -1    0.00    0.00
A05A   153.6   98.3  1  1    0.00    0.00
A08A   347.2  129.0  1  1    0.00    0.00
A10A   351.1  125.7  1  1    0.00    0.00
A13A   324.1  125.2 -1  1    0.00    0.00
              31  14   9   5 1
AAS2   292.9   86.1 -1 -1    0.00    0.00
ACC1    66.8   73.9  1 -1    0.00    0.00
AEC1   271.1   76.6 -1 -1    0.00    0.00
AEC2   214.9   81.9  1  1    0.00    0.00
AEC3   164.5   82.5  1  1    0.00    0.00
AID1   195.5   85.0  1  1    0.00    0.00
A08A   350.3   89.0  1  1    0.00    0.00
A10A   355.7   83.0  1  1    0.00    0.00
A12A    15.4   71.3 -1  1    0.00    0.00
ACC1    66.8   73.9  0  0   -0.19    0.96
